model,mode,cat,case,variant,q,type,tokens,ms,pred,expected,correct,p_pred,p_exp,coverage,ev,completion_tokens,output,top_token,error
E4B,logit,buried,buried_fact,500@0.5,routing,choice,734,530,billing,billing,True,0.9999997785554312,0.9999997785554312,0.9999999831498246,,,,A,
E4B,logit,buried,buried_fact,2000@0.5,routing,choice,2386,842,billing,billing,True,0.9999945418123465,0.9999945418123465,0.999999974937392,,,,A,
E4B,logit,buried,buried_fact,2000@0.5-reversed,routing,choice,2386,1205,billing,billing,True,0.9982961258191649,0.9982961258191649,0.9999999437763514,,,,D,
E4B,logit,buried,buried_fact,4000@0.5,routing,choice,4504,946,billing,billing,True,0.99985211368266,0.99985211368266,0.999999738272995,,,,A,
E4B,logit,buried,buried_fact,6500@0.1,routing,choice,7225,1330,billing,billing,True,0.9997303622229109,0.9997303622229109,0.9999994689534679,,,,A,
E4B,logit,buried,buried_fact,6500@0.5,routing,choice,7219,1331,billing,billing,True,0.9998335947157921,0.9998335947157921,0.9999995440250004,,,,A,
E4B,logit,buried,buried_fact,6500@0.9,routing,choice,7159,1262,billing,billing,True,0.9999497860405692,0.9999497860405692,0.9999999121637639,,,,A,
E4B,logit,update_multi,updated_fact,2500,routing,choice,2942,685,technical,technical,True,0.9999685674194158,0.9999685674194158,0.9999999623169226,,,,B,
E4B,logit,update_multi,updated_fact,2500,billing_unresolved,noul,2869,698,no,no,True,0.9999151923767486,0.9999151923767486,0.9999963763479047,,,,No,
E4B,logit,update_multi,updated_fact,2500,urgency,score,2940,674,4,,True,0.9395183324727726,,0.9999994822451879,4.06,,,D,
E4B,logit,update_multi,updated_fact,2500,cancel_threat,noul,2867,676,no,no,True,0.999996273367769,0.999996273367769,0.9999998972551096,,,,No,
E4B,logit,distractor,distractor,2000,routing,choice,2378,638,technical,technical,True,0.9989912642211759,0.9989912642211759,0.9999996943675418,,,,B,
E4B,logit,distractor,distractor,2000-reversed,routing,choice,2378,633,technical,technical,True,0.9999584707544973,0.9999584707544973,0.9999998077260184,,,,C,
E4B,logit,rules_direct,rules,annual-20d-3exp,eligible,noul,1760,570,no,yes,False,0.9996200158055977,0.000379984194402342,0.9999841713965798,,,,No,
E4B,logit,rules_sub,rules_sub,annual-20d-3exp,annual,noul,1749,612,yes,yes,True,0.9999687981096305,0.9999687981096305,0.9999994512929116,,,,Yes,
E4B,logit,rules_sub,rules_sub,annual-20d-3exp,within14,noul,1756,615,no,no,True,0.9999984465017265,0.9999984465017265,0.9999935901181182,,,,No,
E4B,logit,rules_sub,rules_sub,annual-20d-3exp,within30,noul,1756,587,no,yes,False,0.9996646501701167,0.0003353498298832905,0.9999920263033021,,,,No,
E4B,logit,rules_sub,rules_sub,annual-20d-3exp,exports_lt5,noul,1755,546,yes,yes,True,0.999929688180306,0.999929688180306,0.9999991155033271,,,,Yes,
E4B,logit,rules_sub,rules_sub,annual-20d-3exp,discounted,noul,1756,564,no,no,True,0.9999998555020627,0.9999998555020627,0.9999996504519949,,,,No,
E4B,logit,rules_sub,rules_sub,annual-20d-3exp,duplicate,noul,1758,553,no,no,True,0.9999999981232979,0.9999999981232979,0.9999978949061882,,,,No,
E4B,logit,rules_direct,rules,annual-20d-7exp,eligible,noul,1760,616,no,no,True,0.9999978766223244,0.9999978766223244,0.999999632893597,,,,No,
E4B,logit,rules_sub,rules_sub,annual-20d-7exp,annual,noul,1749,613,yes,yes,True,0.9999339479248153,0.9999339479248153,0.9999993982224967,,,,Yes,
E4B,logit,rules_sub,rules_sub,annual-20d-7exp,within14,noul,1756,616,no,no,True,0.9999984465017233,0.9999984465017233,0.9999926343476123,,,,No,
E4B,logit,rules_sub,rules_sub,annual-20d-7exp,within30,noul,1756,589,no,yes,False,0.9998911031418148,0.00010889685818507419,0.9999949379948406,,,,No,
E4B,logit,rules_sub,rules_sub,annual-20d-7exp,exports_lt5,noul,1755,638,no,no,True,0.9999999997379537,0.9999999997379537,0.9999999433413399,,,,No,
E4B,logit,rules_sub,rules_sub,annual-20d-7exp,discounted,noul,1756,615,no,no,True,0.9999996533673835,0.9999996533673835,0.9999994061827014,,,,No,
E4B,logit,rules_sub,rules_sub,annual-20d-7exp,duplicate,noul,1758,613,no,no,True,0.9999999976644071,0.9999999976644071,0.9999981365059368,,,,No,
E4B,logit,rules_direct,rules,nonprofit-monthly-7d,eligible,noul,1763,614,no,no,True,0.9999756998215136,0.9999756998215136,0.9999877619511178,,,,No,
E4B,logit,rules_sub,rules_sub,nonprofit-monthly-7d,annual,noul,1752,548,no,no,True,0.9999996743686332,0.9999996743686332,0.9999998721659402,,,,No,
E4B,logit,rules_sub,rules_sub,nonprofit-monthly-7d,within14,noul,1759,579,yes,yes,True,0.999569442972559,0.999569442972559,0.99999971415532,,,,Yes,
E4B,logit,rules_sub,rules_sub,nonprofit-monthly-7d,within30,noul,1759,530,no,yes,False,0.5621711990596301,0.43782880094036997,0.9997369326971582,,,,No,
E4B,logit,rules_sub,rules_sub,nonprofit-monthly-7d,exports_lt5,noul,1758,595,yes,yes,True,0.9999843104719072,0.9999843104719072,0.9999999024725021,,,,Yes,
E4B,logit,rules_sub,rules_sub,nonprofit-monthly-7d,discounted,noul,1759,616,yes,yes,True,0.9999843104718442,0.9999843104718442,0.9999998984619097,,,,Yes,
E4B,logit,rules_sub,rules_sub,nonprofit-monthly-7d,duplicate,noul,1761,614,no,no,True,0.9999999957707911,0.9999999957707911,0.9999951594039227,,,,No,
E4B,logit,rules_direct,rules,nonprofit-duplicate,eligible,noul,1778,614,yes,yes,True,0.9997965731059558,0.9997965731059558,0.9999997743472704,,,,Yes,
E4B,logit,rules_sub,rules_sub,nonprofit-duplicate,annual,noul,1767,590,no,no,True,0.999999789756613,0.999999789756613,0.9999999914020877,,,,No,
E4B,logit,rules_sub,rules_sub,nonprofit-duplicate,within14,noul,1774,639,yes,yes,True,0.9971990734800965,0.9971990734800965,0.9999993067321434,,,,Yes,
E4B,logit,rules_sub,rules_sub,nonprofit-duplicate,within30,noul,1774,615,yes,yes,True,0.9465976637724326,0.9465976637724326,0.9999913167336143,,,,Yes,
E4B,logit,rules_sub,rules_sub,nonprofit-duplicate,exports_lt5,noul,1773,614,yes,yes,True,0.9998204722302014,0.9998204722302014,0.9999994574827419,,,,Yes,
E4B,logit,rules_sub,rules_sub,nonprofit-duplicate,discounted,noul,1774,613,yes,yes,True,0.9999904837480548,0.9999904837480548,0.9999999531673845,,,,Yes,
E4B,logit,rules_sub,rules_sub,nonprofit-duplicate,duplicate,noul,1776,589,yes,yes,True,0.9999038976030481,0.9999038976030481,0.9999999789253792,,,,Yes,
E4B,logit,rules_direct,rules,monthly-10d,eligible,noul,1757,638,yes,yes,True,0.9740426595123048,0.9740426595123048,0.9999963555320721,,,,Yes,
