system,state_tokens,questions,run,latency_ms,correct,total,accuracy,input_tokens,ms_per_question
so1,500,1,0,459.9,1,1,1.0,669,459.9
so1,500,1,1,492.5,1,1,1.0,669,492.5
jev-1.13.0,500,1,0,334.3,1,1,1.0,870,334.3
jev-1.13.0,500,1,1,344.5,1,1,1.0,870,344.5
so1,500,2,0,1535.6,2,2,1.0,757,767.8
so1,500,2,1,1000.6,2,2,1.0,757,500.3
jev-1.13.0,500,2,0,349.7,2,2,1.0,986,174.9
jev-1.13.0,500,2,1,366.6,2,2,1.0,986,183.3
so1,500,4,0,1894.4,4,4,1.0,874,473.6
so1,500,4,1,1031.4,4,4,1.0,874,257.9
jev-1.13.0,500,4,0,393.3,4,4,1.0,1095,98.3
jev-1.13.0,500,4,1,456.3,4,4,1.0,1095,114.1
so1,500,8,0,1626.1,8,8,1.0,1059,203.3
so1,500,8,1,998.8,8,8,1.0,1059,124.8
jev-1.13.0,500,8,0,527.4,8,8,1.0,1315,65.9
jev-1.13.0,500,8,1,336.5,8,8,1.0,1315,42.1
so1,500,16,0,1484.7,16,16,1.0,1285,92.8
so1,500,16,1,2616.5,16,16,1.0,1285,163.5
jev-1.13.0,500,16,0,365.3,16,16,1.0,1557,22.8
jev-1.13.0,500,16,1,401.5,16,16,1.0,1557,25.1
so1,1500,1,0,608.6,1,1,1.0,1788,608.6
so1,1500,1,1,472.5,1,1,1.0,1788,472.5
jev-1.13.0,1500,1,0,347.6,1,1,1.0,1982,347.6
jev-1.13.0,1500,1,1,363.8,1,1,1.0,1982,363.8
so1,1500,2,0,1028.5,2,2,1.0,1876,514.3
so1,1500,2,1,999.3,2,2,1.0,1876,499.7
jev-1.13.0,1500,2,0,377.5,2,2,1.0,2098,188.7
jev-1.13.0,1500,2,1,407.8,2,2,1.0,2098,203.9
so1,1500,4,0,1129.3,4,4,1.0,1993,282.3
so1,1500,4,1,1037.8,4,4,1.0,1993,259.4
jev-1.13.0,1500,4,0,351.7,4,4,1.0,2207,87.9
jev-1.13.0,1500,4,1,413.0,4,4,1.0,2207,103.2
so1,1500,8,0,1077.6,8,8,1.0,2178,134.7
so1,1500,8,1,1250.6,8,8,1.0,2178,156.3
jev-1.13.0,1500,8,0,407.8,8,8,1.0,2427,51.0
jev-1.13.0,1500,8,1,511.7,8,8,1.0,2427,64.0
so1,1500,16,0,3097.1,16,16,1.0,2404,193.6
so1,1500,16,1,2320.4,16,16,1.0,2404,145.0
jev-1.13.0,1500,16,0,827.9,16,16,1.0,2669,51.7
jev-1.13.0,1500,16,1,317.3,16,16,1.0,2669,19.8
so1,3000,1,0,918.9,1,1,1.0,3418,918.9
so1,3000,1,1,592.9,1,1,1.0,3418,592.9
jev-1.13.0,3000,1,0,346.5,1,1,1.0,3591,346.5
jev-1.13.0,3000,1,1,342.9,1,1,1.0,3591,342.9
so1,3000,2,0,1198.7,2,2,1.0,3506,599.3
so1,3000,2,1,1186.3,2,2,1.0,3506,593.2
jev-1.13.0,3000,2,0,329.2,2,2,1.0,3707,164.6
jev-1.13.0,3000,2,1,326.3,2,2,1.0,3707,163.2
so1,3000,4,0,1366.6,4,4,1.0,3623,341.6
so1,3000,4,1,1263.5,4,4,1.0,3623,315.9
jev-1.13.0,3000,4,0,309.7,4,4,1.0,3816,77.4
jev-1.13.0,3000,4,1,335.9,4,4,1.0,3816,84.0
so1,3000,8,0,1435.7,8,8,1.0,3808,179.5
so1,3000,8,1,1336.8,8,8,1.0,3808,167.1
jev-1.13.0,3000,8,0,577.6,8,8,1.0,4036,72.2
jev-1.13.0,3000,8,1,326.4,8,8,1.0,4036,40.8
so1,3000,16,0,2443.6,16,16,1.0,4034,152.7
so1,3000,16,1,2944.8,16,16,1.0,4034,184.0
jev-1.13.0,3000,16,0,1099.8,16,16,1.0,4278,68.7
jev-1.13.0,3000,16,1,424.4,16,16,1.0,4278,26.5
so1,6500,1,0,2723.2,1,1,1.0,7286,2723.2
so1,6500,1,1,2024.1,1,1,1.0,7286,2024.1
jev-1.13.0,6500,1,0,578.5,1,1,1.0,7399,578.5
jev-1.13.0,6500,1,1,401.1,1,1,1.0,7399,401.1
so1,6500,2,0,2332.5,2,2,1.0,7374,1166.2
so1,6500,2,1,2191.6,2,2,1.0,7374,1095.8
jev-1.13.0,6500,2,0,595.9,2,2,1.0,7515,297.9
jev-1.13.0,6500,2,1,345.6,2,2,1.0,7515,172.8
so1,6500,4,0,2427.9,4,4,1.0,7491,607.0
so1,6500,4,1,2527.5,4,4,1.0,7491,631.9
jev-1.13.0,6500,4,0,603.5,4,4,1.0,7624,150.9
jev-1.13.0,6500,4,1,355.6,4,4,1.0,7624,88.9
so1,6500,8,0,2920.2,8,8,1.0,7676,365.0
so1,6500,8,1,2231.9,8,8,1.0,7676,279.0
jev-1.13.0,6500,8,0,1191.5,8,8,1.0,7844,148.9
jev-1.13.0,6500,8,1,515.2,8,8,1.0,7844,64.4
so1,6500,16,0,3522.7,15,16,0.9375,7902,220.2
so1,6500,16,1,3478.8,15,16,0.9375,7902,217.4
jev-1.13.0,6500,16,0,1200.1,16,16,1.0,8086,75.0
jev-1.13.0,6500,16,1,377.5,16,16,1.0,8086,23.6
