system,state_tokens,questions,run,latency_ms,correct,total,accuracy,input_tokens,ms_per_question
so1,500,1,0,448.5,1,1,1.0,964,448.5
so1,500,1,1,474.4,1,1,1.0,964,474.4
jev-1.13.0,500,1,0,362.1,1,1,1.0,1143,362.1
jev-1.13.0,500,1,1,386.1,1,1,1.0,1143,386.1
so1,500,2,0,1086.5,2,2,1.0,990,543.2
so1,500,2,1,982.1,2,2,1.0,990,491.0
jev-1.13.0,500,2,0,320.7,2,2,1.0,1164,160.4
jev-1.13.0,500,2,1,325.6,2,2,1.0,1164,162.8
so1,500,4,0,1086.2,4,4,1.0,1035,271.6
so1,500,4,1,1066.1,4,4,1.0,1035,266.5
jev-1.13.0,500,4,0,360.0,4,4,1.0,1201,90.0
jev-1.13.0,500,4,1,442.1,4,4,1.0,1201,110.5
so1,500,8,0,1072.1,8,8,1.0,1226,134.0
so1,500,8,1,1009.1,8,8,1.0,1226,126.1
jev-1.13.0,500,8,0,339.0,7,8,0.875,1407,42.4
jev-1.13.0,500,8,1,355.8,7,8,0.875,1407,44.5
so1,1500,1,0,613.8,0,1,0.0,2083,613.8
so1,1500,1,1,503.0,0,1,0.0,2083,503.0
jev-1.13.0,1500,1,0,329.4,1,1,1.0,2255,329.4
jev-1.13.0,1500,1,1,330.9,1,1,1.0,2255,330.9
so1,1500,2,0,996.6,1,2,0.5,2109,498.3
so1,1500,2,1,1172.2,1,2,0.5,2109,586.1
jev-1.13.0,1500,2,0,336.2,2,2,1.0,2276,168.1
jev-1.13.0,1500,2,1,365.9,2,2,1.0,2276,182.9
so1,1500,4,0,1142.2,2,4,0.5,2154,285.5
so1,1500,4,1,1036.2,2,4,0.5,2154,259.0
jev-1.13.0,1500,4,0,355.9,4,4,1.0,2313,89.0
jev-1.13.0,1500,4,1,346.8,4,4,1.0,2313,86.7
so1,1500,8,0,1174.6,4,8,0.5,2345,146.8
so1,1500,8,1,1129.0,4,8,0.5,2345,141.1
jev-1.13.0,1500,8,0,329.2,6,8,0.75,2519,41.1
jev-1.13.0,1500,8,1,339.2,6,8,0.75,2519,42.4
so1,3000,1,0,931.5,0,1,0.0,3713,931.5
so1,3000,1,1,610.0,0,1,0.0,3713,610.0
jev-1.13.0,3000,1,0,339.4,1,1,1.0,3864,339.4
jev-1.13.0,3000,1,1,372.3,1,1,1.0,3864,372.3
so1,3000,2,0,1234.7,1,2,0.5,3739,617.4
so1,3000,2,1,1125.2,1,2,0.5,3739,562.6
jev-1.13.0,3000,2,0,323.8,2,2,1.0,3885,161.9
jev-1.13.0,3000,2,1,346.1,2,2,1.0,3885,173.1
so1,3000,4,0,1305.7,3,4,0.75,3784,326.4
so1,3000,4,1,1224.8,3,4,0.75,3784,306.2
jev-1.13.0,3000,4,0,367.9,4,4,1.0,3922,92.0
jev-1.13.0,3000,4,1,337.4,4,4,1.0,3922,84.4
so1,3000,8,0,1488.1,4,8,0.5,3975,186.0
so1,3000,8,1,1345.0,4,8,0.5,3975,168.1
jev-1.13.0,3000,8,0,678.1,6,8,0.75,4128,84.8
jev-1.13.0,3000,8,1,382.7,6,8,0.75,4128,47.8
so1,6500,1,0,2465.6,0,1,0.0,7581,2465.6
so1,6500,1,1,1587.0,0,1,0.0,7581,1587.0
jev-1.13.0,6500,1,0,777.7,1,1,1.0,7672,777.7
jev-1.13.0,6500,1,1,414.9,1,1,1.0,7672,414.9
so1,6500,2,0,2310.0,1,2,0.5,7607,1155.0
so1,6500,2,1,2162.1,1,2,0.5,7607,1081.0
jev-1.13.0,6500,2,0,613.1,2,2,1.0,7693,306.5
jev-1.13.0,6500,2,1,366.4,2,2,1.0,7693,183.2
so1,6500,4,0,2437.9,2,4,0.5,7652,609.5
so1,6500,4,1,2283.7,2,4,0.5,7652,570.9
jev-1.13.0,6500,4,0,733.1,4,4,1.0,7730,183.3
jev-1.13.0,6500,4,1,346.5,4,4,1.0,7730,86.6
so1,6500,8,0,3001.6,3,8,0.375,7843,375.2
so1,6500,8,1,2691.1,3,8,0.375,7843,336.4
jev-1.13.0,6500,8,0,1213.2,6,8,0.75,7936,151.7
jev-1.13.0,6500,8,1,419.1,6,8,0.75,7936,52.4
